a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230125.3-2
accountsservice 23.13.9-1
acl 2.3.1-3
acolor-git 0.4.r0.g9dacf2d-1
acpi 1.7-3
acpi_call 1.2.2-155
acpilight 1.2-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.052-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
afpfs-ng 0.8.2-3
aic94xx-firmware 30-9
alembic 1.8.5-4
alsa-card-profiles 1:0.3.79-2
alsa-firmware 1.2.4-3
alsa-lib 1.2.10-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
android-bash-completion r43.c1b0656-1
android-sdk 26.1.1-2
android-sdk-platform-tools 34.0.1-1
android-studio 2021.2.1.15-1
android-tools 34.0.4-1
android-udev 20230614-1
antlr4-runtime 4.13.0-1
aom 3.7.0-1
apparmor 3.1.6-2
appstream 0.16.3-1
appstream-glib 0.8.2-3
apr 1.7.3-1
apr-util 1.6.3-1
arandr 0.1.11-2
arc-darkest-theme-git r172.c8bdaead59-1
arc-gtk-theme 20221218-1
arch-install-scripts 28-1
archiso 72-1
archlinux-appstream-data 20230827-2
archlinux-keyring 20230821-2
archlinux-themes-sddm 2.0-1
arcolinux-arc-themes-git 21.07-01
arcolinux-bin-git 22.05-01
arcolinux-common-git 21.07-01
arcolinux-config-all-desktops-git 21.07-01
arcolinux-dconf-git 21.09-01
arcolinux-docs-git 21.07-01
arcolinux-faces-git 21.07-01
arcolinux-fonts-git 21.07-01
arcolinux-geany-git 21.07-01
arcolinux-grub-theme-vimix-git 20211231-6
arcolinux-gtk3-sardi-arc-git 21.07-01
arcolinux-keyring 20230919-6
arcolinux-kvantum-git 21.07-01
arcolinux-kvantum-theme-arc-git 21.07-01
arcolinux-local-applications-all-hide-git 22.02-01
arcolinux-local-applications-git 22.04-01
arcolinux-logo-git 21.07-01
arcolinux-meta-log 22.03-01
arcolinux-meta-sddm-themes 21.09-01
arcolinux-mirrorlist-git 22.04-01
arcolinux-mirrorlist-spinoff-git 21.07-01
arcolinux-neofetch-git 21.07-01
arcolinux-nitrogen-git 21.07-01
arcolinux-obmenu-generator-git 21.07-01
arcolinux-openbox-themes-git 21.07-01
arcolinux-pamac-all 10.4.0-2
arcolinux-paru-git 21.07-01
arcolinux-pipemenus-git 22.02-01
arcolinux-plank-git 21.07-01
arcolinux-plank-themes-git 21.07-01
arcolinux-polybar-git 22.01-04
arcolinux-qt5-git 21.07-01
arcolinux-rofi-git 21.09-02
arcolinux-rofi-themes-git 21.07-01
arcolinux-root-git 22.04-01
arcolinux-sddm-chili-git 21.07-01
arcolinux-sddm-fralonra-git 21.07-01
arcolinux-sddm-futuristic-git 21.07-01
arcolinux-sddm-materia-git 21.08-01
arcolinux-sddm-redrock-git 21.07-01
arcolinux-sddm-simplicity-git 21.09-04
arcolinux-sddm-slice-git 21.08-01
arcolinux-sddm-sugar-candy-git 21.07-02
arcolinux-sddm-urbanlifestyle-git 21.07-01
arcolinux-system-config-git 22.05-01
arcolinux-systemd-services-git 21.08-05
arcolinux-tint2-git 21.07-01
arcolinux-tint2-themes-git 21.07-01
arcolinux-variety-autostart-git 21.07-01
arcolinux-variety-git 22.04-02
arcolinux-wallpapers-git 22.03-01
arcolinux-zsh-git 22.04-01
argon2 20190702-5
aribb24 1.0.3-3
ark 23.08.0-1
asciidoc 10.2.0-3
asciinema 2.3.0-1
asdf-vm 0.10.2-1
aspell 0.60.8-3
at-spi2-core 2.48.4-1
atkmm 2.28.3-1
atlauncher-bin 3.4.33.0-1
attica 5.110.0-1
attr 2.5.1-3
audacity 1:3.3.3-1
audit 3.1.2-1
autoconf 2.71-4
autogen 5.18.16-5
automake 1.16.5-2
autorandr 1.14-1
autotiling 1.6-2
avahi 1:0.8+r127+g55d783d-1
awesome-terminal-fonts 1.1.0-4
ayatana-ido 0.10.1-1
babl 0.1.106-1
bamf 0.5.6-1
base 3-1
base16-alacritty-git r19.914727e-1
bash 5.1.016-4
bash-completion 2.11-3
bat 0.23.0-3
bbswitch 0.8-623
bc 1.07.1-4
bcg729 1.1.1-1
betterlockscreen-git r186.c48455f-1
bibata-cursor-theme-bin 1.1.2-1
bind 9.18.18-1
binutils 2.41-3
bison 3.8.2-6
bitwarden 2023.8.3-1
bizhawk-monort 2.8-1
blas 3.11.0-2
blender 17:3.6.2-4
blosc 1.21.5-1
blueman 2.3.5-2
bluez 5.69-1
bluez-libs 5.69-1
bluez-tools 0.2.0-5
bluez-utils 5.69-1
bmon 4.0-4
boost 1.83.0-2
boost-libs 1.83.0-2
bootconfig 6.3-5
bottles 2:51.6-3
box2d 2.4.1-1
bpf 6.3-5
bpytop 1.0.68-1
breeze-icons 5.110.0-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
broadcom-wl-dkms 6.30.223.271-36
brotli 1.0.9-12
btrfs-progs 6.5-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.93-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.17.8-2
cairo-perl 1.109-3
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
capt-src 2.71-3
catt 0.12.11-3
cblas 3.11.0-2
ccrypt 1.11-1
ccze 0.2.1-12
cdparanoia 10.2-8
celt 0.11.3-4
ceph-libs 15.2.17-1
cgames 2.2-7
cgroup_event_listener 6.3-5
chaotic-keyring 20220220-1
chaotic-mirrorlist 20220418-1
chromaprint 1.5.1-7
cifs-utils 7.0-3
cjson 1.7.15-1
clamav 1.2.0-1
clang 16.0.6-1
clang15 15.0.7-1
clipit 1.4.5-3
clonezilla 3.35.2-5
clucene 2.3.3.4-14
clutter 1.26.4-2
clutter-gtk 1.8.4-3
cmake 3.27.4-1
cmatrix 2.0-2
cogl 1.22.8-2
colord 1.4.6-1
compiler-rt 16.0.6-2
compiler-rt14 14.0.6-3
compiler-rt15 15.0.7-1
composer 2.6.2-1
confuse 3.3-3
containerd 1.7.5-1
convertlit 1.8-11
coreutils 9.3-1
cpio 2.14-1
cppdap 1.58.0-1
cppzmq 4.9.0-1
cracklib 2.9.11-1
cronie 1.6.1-1
cryptsetup 2.6.1-3
cups 1:2.4.6-1
